,SK_Pedidos,en_destino,en_origem,SK_Localizacoes
114416,93444,,25382.0,25382.0
114417,93445,,2563.0,2563.0
114418,93445,,2564.0,2564.0
114419,93446,,23470.0,23470.0
114420,93446,,23471.0,23471.0
114421,93447,,,
114422,93448,,,
114423,93449,,,
114424,93450,,,
114425,93451,,,
114426,93452,,26078.0,26078.0
114427,93453,,21000.0,21000.0
114428,93453,,21001.0,21001.0
114429,93454,,,
114430,93455,,26078.0,26078.0
114431,93456,,,
114432,93457,,,
114433,93458,,24804.0,24804.0
114434,93458,,24805.0,24805.0
114435,93459,,,
114436,93460,,,
114437,93461,,18498.0,18498.0
114438,93462,,25353.0,25353.0
114439,93462,,25354.0,25354.0
114440,93463,,,
114441,93464,,92.0,92.0
114442,93465,,19886.0,19886.0
114443,93466,,19886.0,19886.0
114444,93467,,19128.0,19128.0
114445,93468,,13335.0,13335.0
114446,93468,,13336.0,13336.0
114447,93469,,25238.0,25238.0
114448,93469,,25239.0,25239.0
114449,93470,,,
114450,93471,,25273.0,25273.0
114451,93471,,25274.0,25274.0
114452,93472,,18498.0,18498.0
114453,93473,,18604.0,18604.0
114454,93473,,18605.0,18605.0
114455,93474,,20674.0,20674.0
114456,93474,,20675.0,20675.0
114457,93475,,,
114458,93476,,,
114459,93477,,25248.0,25248.0
114460,93477,,25249.0,25249.0
114461,93478,,19886.0,19886.0
114462,93479,,23470.0,23470.0
114463,93479,,23471.0,23471.0
114464,93480,,,
114465,93481,,,
114466,93482,,,
114467,93483,,,
114468,93484,,,
114469,93485,,,
114470,93486,,,
114471,93487,,11037.0,11037.0
114472,93488,,,
114473,93489,,,
114474,93490,,,
114475,93491,,24402.0,24402.0
114476,93491,,24403.0,24403.0
114477,93492,,,
114478,93493,,,
114479,93494,,24909.0,24909.0
114480,93494,,24910.0,24910.0
114481,93495,,,
114482,93496,,,
114483,93497,,20674.0,20674.0
114484,93497,,20675.0,20675.0
114485,93498,,,
114486,93499,,,
114487,93500,,,
114488,93501,,,
114489,93502,,,
114490,93503,,,
114491,93504,,15219.0,15219.0
114492,93505,,19128.0,19128.0
114493,93506,,19128.0,19128.0
114494,93507,,,
114495,93508,,21468.0,21468.0
114496,93509,,,
114497,93510,,13310.0,13310.0
114498,93511,,,
114499,93512,,,
114500,93513,,,
114501,93514,,1827.0,1827.0
114502,93514,,1828.0,1828.0
114503,93515,,,
114504,93516,,13403.0,13403.0
114505,93517,,,
114506,93518,,,
114507,93519,,,
114508,93520,,,
114509,93521,,,
114510,93522,,,
114511,93523,,,
114512,93524,,,
114513,93525,,,
114514,93526,,,
114515,93527,,18421.0,18421.0
114516,93527,,18422.0,18422.0
114517,93528,,18421.0,18421.0
114518,93528,,18422.0,18422.0
114519,93529,,18421.0,18421.0
114520,93529,,18422.0,18422.0
114521,93530,,20674.0,20674.0
114522,93530,,20675.0,20675.0
114523,93531,,25353.0,25353.0
114524,93531,,25354.0,25354.0
114525,93532,,,
114526,93533,,,
114527,93534,,,
114528,93535,,,
114529,93536,,13476.0,13476.0
114530,93536,,13477.0,13477.0
114531,93537,,,
114532,93538,,,
114533,93539,,19883.0,19883.0
114534,93540,,,
114535,93541,,21747.0,21747.0
114536,93542,,21747.0,21747.0
114537,93543,,1729.0,1729.0
114538,93543,,1730.0,1730.0
114539,93544,,24402.0,24402.0
114540,93544,,24403.0,24403.0
114541,93545,,,
114542,93546,,,
114543,93547,,19050.0,19050.0
114544,93548,,,
114545,93549,,,
114546,93550,,26987.0,26987.0
114547,93550,,26988.0,26988.0
114548,93551,,,
114549,93552,,9151.0,9151.0
114550,93553,,,
114551,93554,,24460.0,24460.0
114552,93554,,24461.0,24461.0
114553,93555,,,
114554,93556,,19319.0,19319.0
114555,93556,,19320.0,19320.0
114556,93557,,,
114557,93558,,18874.0,18874.0
114558,93558,,18875.0,18875.0
114559,93558,,18876.0,18876.0
114560,93559,,18874.0,18874.0
114561,93559,,18875.0,18875.0
114562,93559,,18876.0,18876.0
114563,93560,,,
114564,93561,,,
114565,93562,,,
114566,93563,,,
114567,93564,,,
114568,93565,,,
114569,93566,,,
114570,93567,,,
114571,93568,,21414.0,21414.0
114572,93569,,,
114573,93570,,13476.0,13476.0
114574,93570,,13477.0,13477.0
114575,93571,,21377.0,21377.0
114576,93572,,,
114577,93573,,,
114578,93574,,19128.0,19128.0
114579,93575,,,
114580,93576,,21377.0,21377.0
114581,93577,,21377.0,21377.0
114582,93578,,18637.0,18637.0
114583,93579,,2451.0,2451.0
114584,93580,,,
114585,93581,,22907.0,22907.0
114586,93581,,22908.0,22908.0
114587,93582,,22907.0,22907.0
114588,93582,,22908.0,22908.0
114589,93583,,22907.0,22907.0
114590,93583,,22908.0,22908.0
114591,93584,,,
114592,93585,,20027.0,20027.0
114593,93585,,20028.0,20028.0
114594,93586,,,
114595,93587,,18498.0,18498.0
114596,93588,,,
114597,93589,,,
114598,93590,,25438.0,25438.0
114599,93590,,25439.0,25439.0
114600,93591,,,
114601,93592,,3588.0,3588.0
114602,93593,,24373.0,24373.0
114603,93593,,24374.0,24374.0
114604,93594,,26122.0,26122.0
